ParcelaFecha,Parcela,Fecha,Campana,FactorN,N,FactorW,FactorNW,N_all,Biomasa_all,Ncontent_all,NNI_ajusted,NNI_justes,Biomasa_Tallo,N_Tallo,N_content_Tallo,Biomasa_Espigas,N_Espigas,Ncontent_Espigas,Yield,Grain_Nporcent,Grain_Ncontent,Conductance,sigma0_VH_s1a,sigma0_VV_s1a,sigma0_VH_s1b,sigma0_VV_s1b,VV_VH_s1a,VV_VH_s1b,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,temp,Chl,Flav,Anth,NBI
1120190412,11,20190412,2019,N1,99,rainfed,N1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1216,#N/A,0,0,0,4559.684911,1.9272,87.8742476,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.023275,0.04865,0.037925,0.4361,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.30833333,41.18591667,1.621916667,0.14,25.50416667
1120190516,11,20190516,2019,N1,99,rainfed,N1_rain,1.241644778,10.64938925,13.22275856,0.880588334,0.660269297,7613.895566,1.03435,78.75432878,3035.493686,1.7616,53.47325677,4559.684911,1.9272,87.8742476,216.9666667,0.025477828,0.046957389,0.006992457,0.051431689,1.843068714,7.355310596,0.029325,0.057225,0.056775,0.38535,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.34058824,22.804,1.439529412,0.150294118,15.80705882
120180322,1,20180322,2018,N2,136,irrigated,N2,3.15755,1.6614,5.24595357,0.912886971,0.738662503,1661.4,3.15755,52.4595357,0,0,0,7762.545798,1.896,147.1778683,134.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0001,0.0264,0.01015,0.4472,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.294,41.56393333,1.269466667,0.1416,33.406
120180419,1,20180419,2018,N2,136,irrigated,N2,1.64585,6.7557176,11.11889781,0.936913099,0.715733372,6755.7176,1.64585,111.1889781,0,0,0,7762.545798,1.896,147.1778683,306,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.00955,0.02945,0.0139,0.48585,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.32933333,34.38133333,1.506866667,0.131466667,23.116
120180515,1,20180515,2018,N2,136,irrigated,N2_irri,1.007398034,13.92171348,14.02470679,0.813171969,0.60305856,10863.02973,0.84482,91.77304774,3058.683756,1.5848,48.47402016,7762.545798,1.896,147.1778683,#N/A,0.003491735,0.028506689,0.006669434,0.033152847,8.164047106,4.970863225,0.025,0.04305,0.02795,0.4901,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.61666667,43.1244,1.448933333,0.100466667,29.84866667
120190311,1,20190311,2019,N2,149,rainfed,N2,3.7735,1.2078,4.5576333,0.935245618,0.766712199,1207.8,3.7735,45.576333,0,0,0,4640.04362,2.2476,104.2896204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03775,0.071325,0.0622,0.422025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.1,38.47373333,1.572,0.1374,24.90733333
120190412,1,20190412,2019,N2,149,rainfed,N2,2.0635,7.8864,16.2735864,1.265827903,0.960884352,7886.4,2.0635,162.735864,0,0,0,4640.04362,2.2476,104.2896204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02075,0.0456,0.03545,0.41415,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.79,35.08525,1.757916667,0.1745,19.99
120190516,1,20190516,2019,N2,149,rainfed,N2_rain,1.295757828,9.3484,12.11326248,0.86291433,0.650482983,6661.6,1.0677,71.1259032,2686.8,1.8612,50.0067216,4640.04362,2.2476,104.2896204,210.3666667,0.01531172,0.04248834,0.012288205,0.046344008,2.77489013,3.771422032,0.0271,0.056825,0.059325,0.35155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.816,24.89013333,1.713066667,0.155933333,14.46
1220180322,12,20180322,2018,N3,186,irrigated,N3,4.08475,2.9756,12.1545821,1.564875243,1.236322151,2975.6,4.08475,121.545821,0,0,0,7332.640954,2.2164,162.5206541,212.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0058,0.04115,0.02905,0.4061,0.0613,0.3021,0.4098,0.4414,0.1439,0.077,14.068,44.75013333,1.351733333,0.139583333,34.26
1220180419,12,20180419,2018,N3,186,irrigated,N3,2.54615,6.878564089,17.51385595,1.462086771,1.116102872,6878.564089,2.54615,175.1385595,0,0,0,7332.640954,2.2164,162.5206541,380.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0102,0.0295,0.0151,0.4273,0.0581,0.2932,0.4124,0.4465,0.1362,0.0714,28.12066667,39.95433333,1.620733333,0.130333333,24.732
1220180515,12,20180515,2018,N3,186,irrigated,N3_irri,1.461638532,12.54009503,18.32908608,1.121752416,0.835478286,9595.704155,1.3852,132.919694,2944.390874,1.71075,50.37116687,7332.640954,2.2164,162.5206541,#N/A,0.006039031,0.032516157,0.009936311,0.036615558,5.384333897,3.68502525,0.02995,0.0518,0.0405,0.4313,0.0912,0.285,0.3901,0.4434,0.1674,0.0928,31.148,39.69106667,1.5452,0.125666667,26.24066667
1220190311,12,20190311,2019,N3,199,rainfed,N3,3.78105,1.698,6.4202229,1.104714497,0.893081505,1698,3.78105,64.202229,0,0,0,4428.775852,2.767,122.5442278,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.046275,0.0822,0.0681,0.4765,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24.44846154,39.68561538,1.549846154,0.150461538,26.04307692
1220190412,12,20190412,2019,N3,199,rainfed,N3,2.0476,8.1732,16.73544432,1.277933481,0.968653961,8173.2,2.0476,167.3544432,0,0,0,4428.775852,2.767,122.5442278,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0204,0.042525,0.0337,0.4432,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.35083333,34.60325,1.67825,0.170083333,20.67833333
1220190516,12,20190516,2019,N3,199,rainfed,N3_rain,1.648815462,10.91228298,17.99234091,1.183213256,0.886292294,7863.642564,1.54275,121.3163457,3048.640419,1.9224,58.60706341,4428.775852,2.767,122.5442278,146.75,0.020040927,0.044110123,0.006837965,0.036547046,2.201002083,5.344725909,0.0251,0.0502,0.04625,0.397275,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.572,26.23713333,1.685733333,0.1488,15.562
1320180322,13,20180322,2018,N3,186,irrigated,N3,4.355,3.4084,14.843582,1.781508131,1.399657332,3408.4,4.355,148.43582,0,0,0,6634.560121,2.1796,144.6068724,260.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0001,0.0257,0.0086,0.44295,0.0748,0.3069,0.3957,0.42,0.1499,0.0768,13.676,43.082,1.288866667,0.154733333,34.636
1320180419,13,20180419,2018,N3,186,irrigated,N3,2.6204,7.763353788,20.34309227,1.595288267,1.21175727,7763.353788,2.6204,203.4309227,0,0,0,6634.560121,2.1796,144.6068724,313.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0085,0.0303,0.0141,0.43815,0.0677,0.2821,0.3869,0.4049,0.1356,0.0732,27.52466667,40.39886667,1.530466667,0.127866667,26.83933333
1320180515,13,20180515,2018,N3,186,irrigated,N3_irri,1.207998636,14.49145602,17.5056591,0.994171437,0.736078573,11241.45733,1.07709,121.0806127,3249.998691,1.6608,53.97597825,6634.560121,2.1796,144.6068724,#N/A,0.008453862,0.033364853,0.005989461,0.030786136,3.946699693,5.140051017,0.025,0.04745,0.03265,0.4375,0.0928,0.2875,0.3852,0.4308,0.1737,0.0936,30.488,43.3612,1.452666667,0.106,30.13466667
1320190311,13,20190311,2019,N3,199,rainfed,N3,3.54495,1.6496,5.84774952,1.021366788,0.826680502,1649.6,3.54495,58.4774952,0,0,0,4128.653026,2.3165,95.64024735,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.054725,0.092375,0.08265,0.457775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.72866667,35.9828,1.440866667,0.149066667,24.87933333
1320190412,13,20190412,2019,N3,199,rainfed,N3,1.9983,7.79482,15.57638881,1.218935599,0.925731834,7794.82,1.9983,155.7638881,0,0,0,4128.653026,2.3165,95.64024735,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.026475,0.0527,0.044425,0.4381,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.85166667,42.29491667,1.623583333,0.14525,26.29083333
1320190516,13,20190516,2019,N3,199,rainfed,N3_rain,1.490441284,10.273287,15.31173107,1.038839017,0.780075528,7047.220676,1.379014,97.18215973,3226.066325,1.73385,55.93515098,4128.653026,2.3165,95.64024735,103.5,0.012212187,0.055500295,0.010645957,0.055044241,4.544664668,5.170436311,0.04615,0.083425,0.089825,0.375925,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.94466667,39.2424,1.473733333,0.1038,26.98933333
1420180322,14,20180322,2018,N0,36,irrigated,N0,2.70375,1.4874,4.02155775,0.741014796,0.60231798,1487.4,2.70375,40.2155775,0,0,0,4340.236043,1.4505,62.95512381,89.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.013325,0.059075,0.048775,0.37435,0.11,0.2979,0.3559,0.3834,0.1787,0.105,13.24066667,34.44646667,1.5592,0.192466667,22.21
1420180419,14,20180419,2018,N0,36,irrigated,N0,1.180265,3.677857848,4.340846893,0.500886833,0.392300363,3677.857848,1.180265,43.40846893,0,0,0,4340.236043,1.4505,62.95512381,156.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.019425,0.04985,0.039025,0.324225,0.0905,0.2552,0.3036,0.3332,0.1525,0.0902,26.84133333,22.51813333,1.827533333,0.204333333,12.32466667
1420180515,14,20180515,2018,N0,36,irrigated,N0_irri,0.729593541,9.384029958,6.846527643,0.486768856,0.366879383,7477.24063,0.53693,40.14754812,1906.789328,1.4851,28.31772831,4340.236043,1.4505,62.95512381,#N/A,0.01039347,0.021463121,0.008518801,0.034959201,2.065058361,4.103770059,0.036725,0.07105,0.0582,0.37385,0.1244,0.2822,0.3449,0.3862,0.1929,0.1139,28.822,32.07933333,1.778,0.155076923,18.172
1420190311,14,20190311,2019,N0,57,rainfed,N0,2.6441,1.4972,3.95874652,0.726968778,0.590741898,1497.2,2.6441,39.5874652,0,0,0,3602.071581,1.69,60.87500972,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04205,0.080675,0.06775,0.4258,0.1344,0.3449,0.4131,0.4358,0.2654,0.1542,23.856,34.553,1.597066667,0.160666667,21.71133333
1420190412,14,20190412,2019,N0,57,rainfed,N0,1.3586,3.5672,4.84639792,0.568124481,0.445519344,3567.2,1.3586,48.4639792,0,0,0,3602.071581,1.69,60.87500972,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0321,0.0639,0.058625,0.3769,0.1171,0.2957,0.3536,0.3828,0.1934,0.1192,17.3075,43.24375,1.615166667,0.13925,26.8
1420190516,14,20190516,2019,N0,57,rainfed,N0_rain,0.931111811,6.823739081,6.353664055,0.532613771,0.406711039,4647.18119,0.66462,30.88609563,2176.557891,1.5001,32.65054492,3602.071581,1.69,60.87500972,121.9666667,0.013188864,0.044224413,0.012085556,0.043140203,3.353163269,3.569567058,0.057325,0.098525,0.113925,0.3411,0.1777,0.2709,0.3132,0.3508,0.2759,0.1976,26.21266667,33.5776,1.349866667,0.103533333,24.71666667
1520180322,15,20180322,2018,N1,86,irrigated,N1,3.2154,2.0352,6.54398208,1.025344874,0.822783476,2035.2,3.2154,65.4398208,0,0,0,5416.887307,1.4883,80.61953379,176.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0082,0.0488,0.0373,0.4026,0.1005,0.3119,0.3855,0.3951,0.1771,0.0995,14.452,33.378,1.597571429,0.193615385,20.93142857
1520180419,15,20180419,2018,N1,86,irrigated,N1,1.1933,5.721646084,6.827640272,0.626916947,0.482192151,5721.646084,1.1933,68.27640272,0,0,0,5416.887307,1.4883,80.61953379,299.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0149,0.0427,0.0302,0.3499,0.0838,0.2698,0.3499,0.3536,0.1514,0.084,28.61133333,29.932,1.686866667,0.173266667,17.812
1520180515,15,20180515,2018,N1,86,irrigated,N1_irri,0.755030267,9.957410595,7.518146382,0.518378298,0.389754641,7697.16967,0.577545,44.45461857,2260.240924,1.35945,30.72684525,5416.887307,1.4883,80.61953379,#N/A,0.007466147,0.033165012,0.007209596,0.043046847,4.442051666,5.970770851,0.0369,0.0673,0.0563,0.3893,0.1186,0.2927,0.3696,0.403,0.1995,0.1179,31.19466667,32.19246667,1.778066667,0.147333333,18.20866667
1520190311,15,20190311,2019,N1,99,rainfed,N1,3.153,1.9066,6.0115098,0.974242526,0.783871594,1906.6,3.153,60.115098,0,0,0,3878.516218,1.8351,71.17465111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0442,0.08255,0.0714,0.439025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.844,31.35926667,1.548333333,0.176666667,20.21666667
1520190412,15,20190412,2019,N1,99,rainfed,N1,1.5243,4.54784,6.932272512,0.716750626,0.556501778,4547.84,1.5243,69.32272512,0,0,0,3878.516218,1.8351,71.17465111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.031975,0.06215,0.057725,0.38265,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.99416667,36.09483333,1.58675,0.168416667,22.90333333
1520190516,15,20190516,2019,N1,99,rainfed,N1_rain,1.152397552,8.3992,9.67921752,0.728764107,0.551774603,5508.8,0.786925,43.3501244,2890.4,1.84895,53.4420508,3878.516218,1.8351,71.17465111,123.8,0.012998259,0.053070804,0.016505508,0.03386797,4.082916293,2.051919312,0.05575,0.097875,0.1157,0.339775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.5575,30.045,1.6025625,0.137625,18.94125
1620180322,16,20180322,2018,N0,36,irrigated,N0,2.4092,1.4974,3.60753608,0.662428115,0.538292579,1497.4,2.4092,36.0753608,0,0,0,3823.707684,1.4183,54.23164609,110.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02765,0.079175,0.073625,0.383175,0.1474,0.3133,0.3628,0.3812,0.2152,0.1356,16.07266667,31.5648,1.663666667,0.189285714,19.14666667
1620180419,16,20180419,2018,N0,36,irrigated,N0,1.04771,4.733695609,4.959540226,0.502273862,0.389337156,4733.695609,1.04771,49.59540226,0,0,0,3823.707684,1.4183,54.23164609,244.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03065,0.064025,0.0545,0.32235,0.1185,0.2575,0.2982,0.3221,0.1774,0.11,28.16333333,22.68493333,1.815466667,0.2418,12.49666667
1620180515,16,20180515,2018,N0,36,irrigated,N0_irri,0.658375998,8.478366324,5.581952894,0.418240902,0.316544076,6686.84761,0.457365,30.58330057,1791.518714,1.40865,25.23622837,3823.707684,1.4183,54.23164609,#N/A,0.007967686,0.02964907,0.008951109,0.032595493,3.721164274,3.641503333,0.050775,0.0875,0.084225,0.375175,0.1606,0.2972,0.3475,0.375,0.2358,0.1505,31.38733333,25.2018,1.7804,0.1866,14.21266667
1620190311,16,20190311,2019,N0,57,rainfed,N0,3.006,1.8946,5.6951676,0.92599294,0.745243066,1894.6,3.006,56.951676,0,0,0,3998.695766,1.52,60.78017565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04665,0.0838,0.06795,0.453025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.85642857,32.97507143,1.623857143,0.171714286,20.23142857
1620190412,16,20190412,2019,N0,57,rainfed,N0,1.80435,3.95925,7.143872738,0.79349749,0.619600722,3959.25,1.80435,71.43872738,0,0,0,3998.695766,1.52,60.78017565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.031825,0.062075,0.053775,0.39035,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.48416667,41.84075,1.6315,0.137583333,25.80083333
1620190516,16,20190516,2019,N0,57,rainfed,N0_rain,0.953294369,6.3288,6.0332094,0.525827119,0.402770164,4333.2,0.6346,27.4984872,1995.6,1.6453,32.8336068,3998.695766,1.52,60.78017565,142.8333333,0.015202876,0.066999093,0.013863884,0.030213956,4.407001143,2.179328389,0.057025,0.0949,0.11115,0.343825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.15666667,32.861,1.635333333,0.13,20.12666667
1720180322,17,20180322,2018,N0,36,rainfed,N0,2.07745,2.303,4.78436735,0.703228208,0.561449525,2303,2.07745,47.8436735,0,0,0,4206.254987,1.4391,60.53221551,90.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0092,0.04605,0.03865,0.3521,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.798,31.54633333,1.657533333,0.186466667,19.118
1720180419,17,20180419,2018,N0,36,rainfed,N0,0.932665,5.178787642,4.830073976,0.466955595,0.360629059,5178.787642,0.932665,48.30073976,0,0,0,4206.254987,1.4391,60.53221551,273.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0202,0.0494,0.0409,0.29945,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.462,28.68266667,1.759,0.196266667,16.35266667
1720180515,17,20180515,2018,N0,36,rainfed,N0_rain,0.654494984,7.864262981,5.147120675,0.400946919,0.304392108,6107.391624,0.43994,26.86885871,1756.871357,1.40035,24.60234804,4206.254987,1.4391,60.53221551,#N/A,0.014467561,0.048236959,0.011613514,0.07469856,3.33414583,6.432037553,0.03485,0.0652,0.0513,0.3292,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.874,26.868,1.7722,0.1758,15.226
1720190311,17,20190311,2019,N0,57,irrigated,N0,3.20115,1.4034,4.49249391,0.853045913,0.695034646,1403.4,3.20115,44.9249391,0,0,0,3759.784513,1.6,60.15655221,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04195,0.07595,0.06805,0.39845,0.1186,0.3132,0.3838,0.4024,0.2642,0.158,17.21625,43.04975,1.502375,0.14575,29.25375
1720190412,17,20190412,2019,N0,57,irrigated,N0,1.5415,4.315443665,6.65225641,0.706705633,0.54988389,4315.443665,1.5415,66.5225641,0,0,0,3759.784513,1.6,60.15655221,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.029525,0.0556,0.047775,0.37905,0.0971,0.2766,0.3562,0.3817,0.1927,0.1183,13.31181818,38.44454545,1.612727273,0.156363636,24.05545455
1720190516,17,20190516,2019,N0,57,irrigated,N0_irri,0.925041733,6.906920972,6.389190147,0.532247296,0.40622934,4883.66188,0.683755,33.39228229,2023.259092,1.50745,30.49961918,3759.784513,1.6,60.15655221,210.7666667,0.012253011,0.039853616,0.007012943,0.056603394,3.252557011,8.071275106,0.03215,0.06215,0.0573,0.370275,0.1047,0.2698,0.3488,0.3748,0.2137,0.1367,20.87928571,46.15042857,1.656428571,0.116571429,28.39571429
1820180322,18,20180322,2018,N2,136,rainfed,N2,2.9224,3.309,9.6702216,1.17850364,0.927025858,3309,2.9224,96.702216,0,0,0,6714.770402,1.6805,112.8417166,199.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0001,0.0294,0.01745,0.4017,0.0776,0.292,0.3666,0.3922,0.1628,0.0952,15.42733333,41.219,1.3866,0.1464,30.396
1820180419,18,20180419,2018,N2,136,rainfed,N2,1.56955,8.749667009,13.73303985,1.01235957,0.765211745,8749.667009,1.56955,137.3303985,0,0,0,6714.770402,1.6805,112.8417166,316.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0105,0.03465,0.0214,0.38175,0.0703,0.2739,0.3623,0.379,0.1406,0.0819,24.28733333,36.7318,1.626466667,0.149133333,22.878
1820180515,18,20180515,2018,N2,136,rainfed,N2_rain,1.14184483,12.75373315,14.56278426,0.883502228,0.657574564,9770.38373,0.97117,94.88703567,2983.349419,1.7008,50.74080691,6714.770402,1.6805,112.8417166,#N/A,0.016325412,0.034275993,0.008247059,0.060833078,2.099548427,7.376336106,0.029,0.05285,0.03275,0.4143,0.089,0.2926,0.3831,0.4103,0.1686,0.0916,26.23333333,34.7478,1.621,0.124333333,21.47214286
1820190311,18,20190311,2019,N2,149,irrigated,N2,3.87545,1.3676,5.30006542,1.019924702,0.831883049,1367.6,3.87545,53.0006542,0,0,0,4613.008862,2.2666,104.5584589,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03915,0.072525,0.061125,0.42005,0.118,0.3274,0.3992,0.4199,0.2586,0.1485,18.39266667,38.03833333,1.482666667,0.170733333,25.85666667
1820190412,18,20190412,2019,N2,149,irrigated,N2,1.8888,5.8481,11.04589128,1.002840462,0.770642098,5848.1,1.8888,110.4589128,0,0,0,4613.008862,2.2666,104.5584589,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02525,0.0518,0.0428,0.38205,0.0924,0.2748,0.3499,0.3787,0.187,0.1111,13.415,41.97033333,1.5045,0.130916667,28.065
1820190516,18,20190516,2019,N2,149,irrigated,N2_irri,1.42325658,10.47927344,14.91469489,1.001569031,0.75147718,7350.326579,1.27595,93.78649198,3128.946866,1.7693,55.3604569,4613.008862,2.2666,104.5584589,206.7333333,0.009788741,0.034700597,0.004627114,0.041139577,3.544949967,8.890979376,0.0268,0.0542,0.04695,0.38125,0.1081,0.2689,0.353,0.3772,0.2156,0.1333,21.77285714,47.81528571,1.535357143,0.098642857,31.29785714
1920180322,19,20180322,2018,N1,86,rainfed,N1,2.3154,2.4114,5.58335556,0.801382419,0.638609329,2411.4,2.3154,55.8335556,0,0,0,5843.484731,1.449,84.67209375,134.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.007333333,0.044366667,0.0334,0.388166667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.87666667,37.58106667,1.534866667,0.1694,24.82333333
1920180419,19,20180419,2018,N1,86,rainfed,N1,1.11405,6.070626896,6.762981893,0.60226027,0.462104424,6070.626896,1.11405,67.62981893,0,0,0,5843.484731,1.449,84.67209375,361.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.019633333,0.047133333,0.0358,0.342533333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.25533333,29.38266667,1.679666667,0.190866667,17.56266667
1920180515,19,20180515,2018,N1,86,rainfed,N1_rain,0.82165282,8.657278796,7.113277533,0.527255718,0.398710018,6617.728784,0.631405,41.78467043,2039.550013,1.43895,29.34810491,5843.484731,1.449,84.67209375,#N/A,0.018313306,0.055542521,0.008987568,0.062484782,3.032905146,6.952356853,0.029366667,0.056,0.039533333,0.3792,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.09066667,32.52713333,1.721466667,0.158,19.03733333
